input,output
"1 + 1","2"
"2 + 2","4"
"3 * 3","9"
"10 - 3","7"
"4 + 5","9"
"6 / 2","3"
"x + 2 = 5","x = 3"
"2x = 10","x = 5"
"5x + 10 = 20","x = 2"
"9 - x = 4","x = 5"
"2 * 3 + 1","7"
"Сравни рост функций: x^2 и 2^x","UNKNOWN"
"Посчитай интеграл x^2 от 0 до 2","UNKNOWN"
"Упростите выражение: (x+2)*(x-2)","UNKNOWN"
"path","module,summary,lines,notes,source,date"
"symbol","name,meaning,notes,source,date"
"Посчитай интеграл x^2 от 0 до 2","Интеграл x^2 от 0 до 0 = 0.0000"
"Посчитай интеграл x^2 от 0 до 2","Интеграл x^2 от 0 до 2 = 2.6667"
"Q","A"
"a","буква 'a' / 'A' — гласная в английском, примеры: apple, about"
"b","буква 'b' / 'B' — согласная, читается как 'би', примеры: big, blue"
"c","буква 'c' / 'C' — согласная, перед e/i/y звучит как 'с', иначе как 'к', примеры: cat, cell"
"d","буква 'd' / 'D' — согласная, примеры: dog, do"
"e","буква 'e' / 'E' — гласная, часто немая в конце слова, примеры: me, these"
"f","буква 'f' / 'F' — согласная, примеры: fish, of"
"g","буква 'g' / 'G' — согласная, перед e/i/y может звучать как 'дж', иначе как 'г', примеры: go, gentle"
"h","буква 'h' / 'H' — согласная, часто немая в сочетаниях, примеры: hat, honest"
"i","буква 'i' / 'I' — гласная, примеры: in, time"
"j","буква 'j' / 'J' — согласная, примеры: jump, jacket"
"k","буква 'k' / 'K' — согласная, часто немая перед 'n' (know), примеры: kite, know"
"l","буква 'l' / 'L' — согласная, примеры: lamp, bell"
"m","буква 'm' / 'M' — согласная, примеры: man, time"
"n","буква 'n' / 'N' — согласная, примеры: now, ten"
"o","буква 'o' / 'O' — гласная, примеры: on, go"
"p","буква 'p' / 'P' — согласная, примеры: put, pen"
"q","буква 'q' / 'Q' — обычно встречается как 'qu' / 'кв', пример: quick"
"r","буква 'r' / 'R' — согласная, произношение зависит от диалекта, примеры: red, car"
"s","буква 's' / 'S' — согласная, звучит как 'з' между гласными, иначе 'с', примеры: sit, roses"
"t","буква 't' / 'T' — согласная, примеры: top, water"
"u","буква 'u' / 'U' — гласная, примеры: up, use"
"v","буква 'v' / 'V' — согласная, примеры: very, have"
"w","буква 'w' / 'W' — согласная, примеры: we, two"
"x","буква 'x' / 'X' — обычно 'ks' звук, примеры: box, exam"
"y","буква 'y' / 'Y' — иногда гласная, примеры: yes, happy"
"z","буква 'z' / 'Z' — согласная, примеры: zebra, buzz"
"A-Z","заглавные буквы — используются для начала предложений и имён собственных"
"a-z","строчные буквы — основная форма слов"
"0-9","цифры 0–9 — числа и цифровые последовательности"
"space","символ пробела — разделяет слова; важен для токенизации"
"comma","запятая — разделяет части предложения, перечисления"
"period","точка — завершает утверждение (.), пример: ''This is a cat."
"question","вопросительный знак — завершает вопрос (?)"
"exclamation","восклицательный знак — выражает эмоции (!)"
"vowel_rule","гласные: a, e, i, o, u (и иногда y). Влияют на ударение и образование окончаний"
"consonant_rule","согласные: остальные буквы. Некоторые сочетания ведут себя особыми правилами (sh, ch, th, qu)"
"plural_rule","правило множественного числа: обычно добавляется 's' (cat → cats), исключения: child → children, mouse → mice"
"past_tense_rule","образование прошедшего времени: добавление -ed (walk → walked), правила удвоения и изменения для глаголов, оканчивающихся на 'e'"
"article_rule","артикли: 'a' используется перед согласным звуком, 'an' перед гласным звуком, 'the' определённый артикль"
"subject_verb_agreement","согласование подлежащего и сказуемого: 'I am', 'You are', 'He/She/It is', 'We/They are'"
"simple_present_example","пример: I am a student. You are my friend. He is happy. Мы идём — пример русского предложения"
"basic_sentence_structure","правило: Subject + Verb + Object — пример: 'I eat apples'"
"pronunciation_tip_c","если 'c' перед e,i,y → произносится как 's', иначе 'k'"
"hello","слово 'hello' — приветствие, правильное написание: hello"
"grammar","грамматика — система правил, организующая слова в корректные предложения"
"rule: subject + verb + object","пример грамматического правила: 'I eat apples' — Subject + Verb + Object"
"example_sentence_1","This is an example sentence. — корректное предложение с артиклем и глаголом to be"
"example_sentence_2","She walks to school. — корректное предложение в Present Simple"
"russian_example","Мы идём в парк. — пример корректного русского предложения (подлежащее + сказуемое + дополнение)"
"буква","буква — символ алфавита, используется для написания слов и предложений"
"интеграл","математическая операция, обратная дифференцированию"
"гласные","гласные буквы — а, е, и, о, у, ы, э, ю, я (русский алфавит)"
"согласные","согласные буквы — все остальные буквы алфавита кроме гласных"
"грамматика","система правил, организующая слова в корректные предложения"
"алгоритм","последовательность шагов для решения задачи"
"истина","логическое значение true в булевой алгебре"
"ложь","логическое значение false в булевой алгебре"
"предложение","группа слов, выражающая законченную мысль"
