file,description
"core.rs","fns=4 structs=1 impls=1 funcs=[softmax, make_rng, new, sample_index]"
"linear.rs","fns=2 structs=1 impls=1 funcs=[from_raw, forward]"
"self_repair.rs","fns=4 structs=0 impls=0 funcs=[self_repair, softmax, load, forward]"
"simple_model.rs","fns=2 structs=1 impls=1 funcs=[new, forward]"
"integrator.rs","fns=2 structs=0 impls=0 funcs=[integrate_polynomial, try_integrate]"
"reasoner.rs","fns=2 structs=1 impls=1 funcs=[explain, eval_expression]"
"lib.rs","fns=10 structs=1 impls=1 funcs=[guess_number, guess, probabilistic_guess, linear_regressor_predict, hidden_function, discover_equation, new, chat, predict_hidden_number_binary, probabilistic_prediction_close]"
"memory.rs","fns=4 structs=1 impls=1 funcs=[load, save, build_context, save_dialog]"
"scientist.rs","fns=10 structs=1 impls=2 funcs=[evaluate, run_scientific_cycle, true_fn, fmt, eval, rand_const, rand_leaf, rand_expr, mutate, mse]"
"loader.rs","fns=2 structs=0 impls=0 funcs=[load_weights, load_f32_file]"
"train.rs","fns=10 structs=0 impls=2 funcs=[train_from_csv, load_knowledge_pack, find_answer, eval_arith, tokenize, prec, solve_linear_equation, coef_and_const, load_problems, normalize_answer]"
"tokenizer.rs","fns=2 structs=0 impls=0 funcs=[tokenize, detokenize]"
"knowledge_env.rs","fns=4 structs=0 impls=0 funcs=[expand_knowledge_environment, auto_expand_on_new_topic, detect_knowledge_gap, merge_knowledge_sources]"
"model.rs","fns=4 structs=5 impls=2 funcs=[load, generate, load, forward]"
