run,task,seed,evals_used,time_ms,mse
0,wave,1000,300000,361,1.9355256511584806
0,exp,1001,300000,387,0.4143781048783144
0,power,1002,300000,343,NaN
0,mixed,1003,300000,384,231.31496195954614
0,logistic,1004,300000,326,0.20025305163609022
1,wave,1017,300000,378,1.356481676869699
1,exp,1018,300000,367,0.0005851432611056341
1,power,1019,300000,326,NaN
1,mixed,1020,300000,396,231.3149702458929
1,logistic,1021,300000,333,0.20025305134062202
2,wave,1034,300000,359,1.935525651073413
2,exp,1035,300000,396,0.392376165700138
2,power,1036,300000,326,NaN
2,mixed,1037,300000,404,95.59591549005867
2,logistic,1038,300000,364,0.06556027654678968
3,wave,1051,300000,355,1.9355256510731684
3,exp,1052,300000,393,1.1521559944485136
3,power,1053,300000,327,NaN
3,mixed,1054,300000,395,6.420649321416956
3,logistic,1055,300000,326,0.20025305208519345
4,wave,1068,300000,355,1.9355256513495418
4,exp,1069,300000,352,0.7919836533579847
4,power,1070,300000,366,NaN
4,mixed,1071,300000,438,4.643507388060634
4,logistic,1072,300000,328,0.20025305135502558
5,wave,1085,300000,399,1.3454858726478467
5,exp,1086,300000,354,0.00018909949131156798
5,power,1087,300000,325,NaN
5,mixed,1088,300000,378,231.31496205684613
5,logistic,1089,300000,353,0.009748439713117379
6,wave,1102,300000,354,1.9355256513632786
6,exp,1103,300000,388,0.3988247307869211
6,power,1104,300000,346,NaN
6,mixed,1105,300000,438,5.361974738032337
6,logistic,1106,300000,328,0.20025305135487012
run,task,seed,evals_used,time_ms,mse
0,wave,1000,600000,740,0.5189853192806564
0,exp,1001,600000,556,0.4092560740338183
0,power,1002,600000,567,NaN
0,mixed,1003,600000,712,5.310240840792239
0,logistic,1004,600000,618,0.008661791060432912
1,wave,1017,600000,613,1.935525651670259
1,exp,1018,600000,609,0.40913858311775037
1,power,1019,600000,540,NaN
1,mixed,1020,600000,681,5.5983552893657516
1,logistic,1021,600000,618,0.018842008428862217
2,wave,1034,600000,612,1.9355256510971677
2,exp,1035,600000,649,1.1873181905438
2,power,1036,600000,541,NaN
2,mixed,1037,600000,744,4.116618097048586
2,logistic,1038,600000,587,0.00034909222802427276
3,wave,1051,600000,715,1.0001666821754773
3,exp,1052,600000,620,0.16914578300298172
3,power,1053,600000,542,NaN
3,mixed,1054,600000,743,4.923906438467795
3,logistic,1055,600000,628,0.0016511963273429257
4,wave,1068,600000,615,1.9355256510809546
4,exp,1069,600000,544,0.7919870090504205
4,power,1070,600000,614,NaN
4,mixed,1071,600000,700,5.379073945779296
4,logistic,1072,600000,550,0.20025305136790075
5,wave,1085,600000,706,0.9113704656723945
5,exp,1086,600000,589,0.41452094841289794
5,power,1087,600000,541,NaN
5,mixed,1088,600000,701,5.376357189309531
5,logistic,1089,600000,549,0.20025305141326083
6,wave,1102,600000,620,1.9355256511156254
6,exp,1103,600000,671,1.0546689176092916
6,power,1104,600000,606,NaN
6,mixed,1105,600000,768,5.304904708416011
6,logistic,1106,600000,545,0.20025305133318436
run,task,seed,evals_used,time_ms,mse
0,wave,1000,600000,786,0.5189853192806564
0,exp,1001,600000,645,0.4092560740338183
0,power,1002,600000,1010,0.13106363286433023
0,mixed,1003,600000,765,5.310240840792239
0,logistic,1004,600000,678,0.008661791060432912
1,wave,1017,600000,676,1.935525651670259
1,exp,1018,600000,694,0.40913858311775037
1,power,1019,600000,938,6.321829496521118
1,mixed,1020,600000,740,5.5983552893657516
1,logistic,1021,600000,680,0.018842008428862217
2,wave,1034,600000,682,1.9355256510971677
2,exp,1035,600000,744,1.1873181905438
2,power,1036,600000,991,0.07466999020658331
2,mixed,1037,600000,823,4.116618097048586
2,logistic,1038,600000,660,0.00034909222802427276
3,wave,1051,600000,797,1.0001666821754773
3,exp,1052,600000,718,0.16914578300298172
3,power,1053,600000,971,0.4164440737089065
3,mixed,1054,600000,840,4.923906438467795
3,logistic,1055,600000,716,0.0018682223383634428
4,wave,1068,600000,703,1.9355256510809544
4,exp,1069,600000,641,0.7919870090504205
4,power,1070,600000,959,0.0021728491897196204
4,mixed,1071,600000,784,5.379073945779296
4,logistic,1072,600000,628,0.2002530513679007
5,wave,1085,600000,858,0.9113704656723945
5,exp,1086,600000,689,0.41452094841289794
5,power,1087,600000,968,0.006572045730690007
5,mixed,1088,600000,784,5.376357189309531
5,logistic,1089,600000,567,0.20025305141326083
6,wave,1102,600000,614,1.9355256511156254
6,exp,1103,600000,668,1.0546689176092916
6,power,1104,600000,798,0.0003345577672421347
6,mixed,1105,600000,777,5.304904708416011
6,logistic,1106,600000,548,0.20025305133318436
